t_s,battery_c,thermal_status,q,cpu_ms_hkaudio,cpu_ms_gl,cpu_ms_prefetch,cpu_ms_voicer,cpu_ms_main,fps,late_frames,underruns,headroom_min,majflt,brightness,movement,position_ms,plan
1532,24.0,0,0,803910,182650,14330,80,62170,30.0,42,0,5105,0,-1.00,none,690492,therm30
1542,24.0,0,0,809520,183980,14420,80,62550,30.0,42,0,5125,0,-1.00,none,700505,therm30
1552,24.0,0,0,815450,185180,14520,80,62910,30.0,43,0,5118,0,-1.00,none,710518,therm30
1562,24.0,0,0,821330,186410,14610,80,63270,30.0,43,0,5130,0,-1.00,none,720533,therm30
1572,24.0,0,0,826960,187700,14680,80,63650,30.0,44,0,5123,0,-1.00,none,730552,therm30
1582,24.0,0,0,832480,189070,14760,80,64070,30.0,44,0,5116,0,-1.00,none,740566,therm30
1592,24.0,0,0,837990,190440,14820,80,64470,30.0,45,0,5054,0,-1.00,none,750584,therm30
1602,24.0,0,0,843660,191760,14880,80,64870,30.0,45,0,5102,0,-1.00,none,760596,therm30
1612,24.0,0,0,846070,192700,14890,80,65280,10.0,45,0,5065,0,-1.00,none,764293,therm30
1622,24.0,0,0,846200,193320,14890,80,65710,10.0,45,0,5065,0,-1.00,none,764293,therm30
1632,24.0,0,0,846200,193970,14900,80,66170,10.0,45,0,5065,0,-1.00,none,764293,therm30
1642,24.0,0,0,846200,194580,14900,80,66630,10.0,45,0,5065,0,-1.00,none,764293,therm30
1652,24.0,0,0,846200,195190,14900,80,67070,10.0,45,0,5065,0,-1.00,none,764293,therm30
1662,24.0,0,0,846200,195800,14900,80,67520,10.0,45,0,5065,0,-1.00,none,764293,therm30
1672,24.0,0,0,846200,196420,14900,80,67970,10.0,45,0,5065,0,-1.00,none,764293,therm30
1682,24.0,0,0,846200,197030,14900,80,68410,10.0,45,0,5065,0,-1.00,none,764293,therm30
1692,24.0,0,0,846200,197660,14900,80,68870,10.0,46,0,5065,0,-1.00,none,764293,therm30
1702,24.0,0,0,846200,198280,14900,80,69320,10.0,46,0,5065,0,-1.00,none,764293,therm30
1712,24.0,0,0,846200,198900,14900,80,69770,10.0,46,0,5065,0,-1.00,none,764293,therm30
1722,24.0,0,0,846200,199510,14900,80,70230,10.0,46,0,5065,0,-1.00,none,764293,therm30
1732,24.0,0,0,846200,200130,14900,80,70680,10.0,46,0,5065,0,-1.00,none,764293,therm30
1742,24.0,0,0,846200,200790,14900,80,71140,10.0,46,0,5065,0,-1.00,none,764293,therm30
